Comment,Designator,Footprint,LCSC Part #
"Conn_01x05_Male Generic connector, single row, 01x05, script generated (kicad-library-utils/schlib/autogen/connector/)","J1,J2",PinHeader_1x05_P2.54mm_Vertical,
"Conn_02x05_Odd_Even Generic connector, double row, 02x05, odd/even pin numbering scheme (row 1 odd numbers, row 2 even numbers), script generated (kicad-library-utils/schlib/autogen/connector/)",JM1,PinHeader_2x05_P1.27mm_Vertical_SMD,
